"client_id","card_brand","card_type","current_age","retirement_age","remaining_working_period","birth_year","birth_month","gender","address","per_capita_income","credit_score"
331,Mastercard,Debit,34,68,34,1985,June,Male,"30 Catherine Street",14669,732
332,Visa,Debit,61,65,4,1958,July,Male,"8794 Catherine Lane",18324,703
333,Mastercard,Debit,20,64,44,2000,January,Female,"6877 Jefferson Drive",23298,706
334,Mastercard,Debit,44,65,21,1975,November,Male,"8349 Valley Avenue",19818,697
335,Visa,Debit,46,68,22,1973,July,Female,"75 Birch Lane",27696,688
336,Mastercard,Debit,23,65,42,1996,December,Male,"2545 Federal Drive",21642,760
337,Mastercard,Debit (Prepaid),20,74,54,1999,September,Male,"2539 Hill Street",22701,850
338,Mastercard,Debit,68,72,4,1951,August,Female,"222 Lafayette Lane",24651,686
339,Visa,Credit,19,75,56,2000,July,Female,"640 Bayview Street",15597,843
340,Mastercard,Debit (Prepaid),20,63,43,1999,August,Male,"51 George Avenue",25363,809
341,Mastercard,Debit (Prepaid),50,66,16,1969,October,Male,"517 Eighth Drive",51032,734
342,Mastercard,Debit,18,68,50,2001,June,Male,"3033 Maple Lane",62840,699
343,Visa,Credit,55,72,17,1964,September,Female,"919 Ocean View Lane",23368,764
344,Visa,Debit,18,63,45,2002,January,Male,"7193 George Boulevard",24074,577
345,Visa,Credit,33,67,34,1986,July,Male,"67424 Tenth Boulevard",17409,724
346,Mastercard,Debit,90,74,-16,1929,November,Female,"495 Ocean View Lane",25249,687
347,Mastercard,Debit,28,63,35,1991,August,Female,"5671 Sussex Drive",21602,557
348,Visa,Debit,49,70,21,1970,July,Female,"480 Seventh Lane",22747,719
349,Visa,Credit,40,61,21,1979,December,Female,"1943 Birch Street",21201,685
350,Mastercard,Debit,62,70,8,1957,August,Female,"102 Seventh Avenue",28673,737
351,Mastercard,Debit (Prepaid),91,70,-21,1928,September,Female,"984 Little Creek Lane",13810,807
352,Mastercard,Debit,22,65,43,1997,November,Male,"32 Valley Drive",18175,680
353,Mastercard,Debit,24,69,45,1996,February,Female,"932 Essex Street",16109,721
354,Visa,Debit,77,72,-5,1942,August,Female,"9 Plum Boulevard",22185,713
355,Mastercard,Debit,22,62,40,1997,November,Female,"415 Madison Boulevard",19856,691
356,Visa,Debit,50,73,23,1969,October,Female,"24 River Avenue",20315,691
357,Visa,Debit,59,67,8,1960,September,Female,"645 Catherine Lane",39312,735
358,Mastercard,Debit,36,71,35,1983,July,Female,"65 Fifth Lane",15243,605
359,Amex,Credit,66,61,-5,1953,July,Male,"338 Littlewood Street",24252,799
360,Mastercard,Debit,43,67,24,1976,April,Male,"881 Plum Street",22697,791
361,Visa,Credit,43,68,25,1976,June,Male,"125 Plum Drive",19153,804
362,Visa,Debit,37,59,22,1983,January,Male,"6680 River Avenue",23889,792
363,Visa,Credit,52,66,14,1967,September,Female,"7508 Grant Street",23878,701
364,Mastercard,Debit,65,65,0,1954,May,Female,"9052 River Lane",18273,775
365,Mastercard,Debit,55,70,15,1964,September,Female,"1392 Plum Avenue",18719,719
366,Mastercard,Debit,50,68,18,1969,December,Female,"773 12th Street",19573,625
367,Mastercard,Debit (Prepaid),27,67,40,1992,August,Female,"8893 Valley Drive",21992,756
368,Visa,Debit,75,73,-2,1945,February,Male,"2842 Littlewood Avenue",20121,726
369,Mastercard,Debit (Prepaid),39,65,26,1980,September,Male,"5193 East Street",25258,788
370,Mastercard,Debit,61,58,-3,1958,November,Male,"381 Fifth Lane",16113,655
371,Mastercard,Debit (Prepaid),82,63,-19,1937,March,Male,"19176 Grant Drive",43827,719
372,Visa,Debit,32,71,39,1988,January,Male,"4725 North Street",12101,756
373,Mastercard,Debit,61,63,2,1959,February,Male,"3270 Grant Avenue",10493,812
374,Visa,Debit,58,66,8,1961,November,Male,"50 Spruce Street",15290,689
375,Mastercard,Debit,50,66,16,1970,February,Female,"4492 Grant Drive",18444,695
376,Visa,Credit,50,74,24,1969,April,Female,"818 12th Lane",28433,773
377,Visa,Credit,80,67,-13,1940,January,Female,"305 Pine Avenue",24884,750
378,Visa,Debit (Prepaid),18,60,42,2001,May,Female,"512 Second Avenue",18753,596
379,Amex,Credit,47,65,18,1972,November,Female,"837 Lincoln Avenue",21331,765
380,Mastercard,Credit,46,70,24,1974,January,Male,"3551 Spruce Boulevard",18568,800
381,Mastercard,Credit,26,69,43,1994,February,Male,"5101 Birch Lane",25163,675
382,Mastercard,Debit,55,68,13,1964,November,Male,"541 Tenth Street",11329,681
383,Visa,Debit,48,66,18,1971,September,Male,"6606 Oak Drive",16816,760
384,Visa,Debit,20,68,48,1999,November,Male,"76089 Grant Boulevard",19200,702
385,Mastercard,Debit,79,65,-14,1941,February,Male,"9983 Park Drive",21679,740
386,Mastercard,Debit,48,64,16,1971,November,Male,"3034 Third Boulevard",24506,655
387,Mastercard,Debit (Prepaid),34,65,31,1985,October,Male,"8229 Bayview Avenue",22261,723
388,Mastercard,Debit,25,66,41,1994,October,Female,"6444 Maple Lane",8491,749
389,Visa,Debit,27,67,40,1992,July,Male,"9517 Ninth Street",26033,689
390,Mastercard,Credit,30,70,40,1989,April,Male,"4328 Forest Boulevard",45143,681
391,Amex,Credit,85,66,-19,1934,July,Female,"31 Hill Boulevard",19025,731
392,Mastercard,Debit,50,65,15,1969,November,Female,"687 Fifth Boulevard",16234,775
393,Visa,Debit,41,64,23,1978,December,Male,"3536 Burns Street",15884,765
394,Mastercard,Debit,52,71,19,1967,April,Male,"514 Pine Boulevard",34138,684
395,Mastercard,Credit,39,72,33,1981,February,Male,"1105 Wessex Avenue",24331,739
396,Visa,Debit (Prepaid),89,72,-17,1930,October,Female,"711 South Boulevard",38274,735
397,Visa,Debit,30,65,35,1989,April,Female,"2328 Little Creek Avenue",10016,770
398,Visa,Debit,49,69,20,1970,November,Female,"6999 Lexington Lane",18344,737
399,Mastercard,Debit,37,68,31,1982,May,Female,"365 Ocean Lane",31514,802
400,Mastercard,Debit (Prepaid),46,68,22,1973,May,Female,"539 Pine Boulevard",19508,711
401,Mastercard,Debit,81,71,-10,1938,September,Male,"84497 Valley Stream Drive",15239,806
402,Visa,Debit,47,72,25,1972,June,Male,"77931 Lincoln Avenue",21556,744
403,Mastercard,Debit,33,72,39,1986,July,Male,"699 Third Avenue",17898,759
404,Visa,Credit,44,61,17,1975,September,Male,"33 Seventh Boulevard",21979,625
405,Visa,Debit,30,67,37,1989,March,Male,"640 Spruce Boulevard",17165,627
406,Discover,Credit,23,64,41,1996,May,Female,"2418 Mill Drive",41750,641
407,Mastercard,Debit,23,66,43,1996,August,Female,"9392 Fifth Avenue",20822,750
408,Mastercard,Debit,58,62,4,1961,April,Female,"690 Hill Lane",15371,741
409,Visa,Debit,54,65,11,1965,August,Female,"7561 Littlewood Street",14568,711
410,Mastercard,Debit,54,60,6,1966,February,Female,"72990 Second Drive",23029,610
411,Mastercard,Debit,30,67,37,1990,January,Male,"649 Sussex Street",18401,775
412,Visa,Credit,25,65,40,1994,October,Male,"7091 Lexington Lane",22964,810
413,Visa,Credit,21,70,49,1998,March,Male,"1848 Mountain View Avenue",25025,660
414,Mastercard,Debit,45,66,21,1975,January,Female,"471 Eighth Lane",55362,709
415,Visa,Credit,53,65,12,1966,May,Male,"7571 George Street",16544,763
416,Visa,Credit,86,65,-21,1933,August,Female,"5220 Lincoln Street",20030,765
417,Mastercard,Credit,21,65,44,1998,March,Male,"320 Hillside Lane",10730,762
418,Visa,Debit,29,66,37,1990,July,Male,"7333 George Street",25449,693
419,Visa,Debit,60,66,6,1959,November,Male,"933 Valley Lane",16448,734
420,Mastercard,Debit (Prepaid),22,62,40,1998,February,Male,"1651 Oak Drive",16252,744
421,Mastercard,Debit,53,67,14,1967,January,Female,"595 Valley Stream Drive",22502,790
422,Mastercard,Debit (Prepaid),19,62,43,2000,November,Female,"5378 Lafayette Avenue",15539,817
423,Amex,Credit,28,70,42,1991,March,Female,"19 El Camino Drive",26023,696
424,Visa,Credit,24,69,45,1995,April,Female,"4020 Littlewood Street",25037,772
425,Mastercard,Debit,38,67,29,1981,November,Male,"8897 East Street",29174,688
426,Visa,Credit,26,65,39,1993,April,Female,"8709 Fifth Street",20773,754
427,Visa,Debit,44,66,22,1975,November,Female,"33 Pine Lane",15955,705
428,Mastercard,Credit,39,69,30,1980,November,Male,"6405 Fifth Avenue",27706,689
429,Visa,Debit,22,68,46,1997,November,Male,"8145 Spruce Boulevard",26481,683
430,Mastercard,Debit (Prepaid),52,67,15,1967,May,Female,"903 Hill Boulevard",26168,685
431,Mastercard,Debit,19,72,53,2000,March,Female,"973 Federal Avenue",25495,691
432,Visa,Debit,55,64,9,1964,November,Female,"4329 El Camino Boulevard",13018,686
433,Mastercard,Debit,49,65,16,1970,April,Male,"6829 Main Boulevard",15676,771
434,Amex,Credit,31,74,43,1988,October,Female,"7808 Lincoln Drive",26190,785
435,Mastercard,Debit,71,66,-5,1948,August,Female,"5023 11th Avenue",15881,679
436,Mastercard,Debit,20,65,45,2000,January,Female,"599 Hillside Drive",26273,623
437,Discover,Credit,46,66,20,1973,June,Female,"9528 Hill Street",35645,718
438,Mastercard,Debit,32,66,34,1987,October,Female,"12960 El Camino Lane",16691,633
439,Mastercard,Credit,33,59,26,1986,August,Female,"142 Valley Drive",25472,697
440,Mastercard,Debit,43,50,7,1976,November,Female,"689 Valley Stream Lane",52066,703
441,Visa,Debit,41,64,23,1978,June,Female,"608 Washington Drive",22613,635
442,Mastercard,Debit,47,66,19,1972,August,Male,"801 12th Drive",23836,791
443,Mastercard,Debit,31,71,40,1988,May,Male,"913 Mill Boulevard",20592,697
444,Visa,Debit (Prepaid),24,68,44,1995,September,Female,"549 Ocean Boulevard",12939,748
445,Mastercard,Debit,42,59,17,1977,December,Female,"9864 Fifth Lane",6201,645
446,Discover,Credit,23,68,45,1997,January,Male,"28 Madison Lane",24200,703
447,Mastercard,Debit,79,68,-11,1940,March,Male,"5336 Tenth Drive",19131,796
448,Mastercard,Credit,41,63,22,1978,August,Male,"992 Martin Luther King Avenue",19359,698
449,Mastercard,Debit,58,70,12,1962,February,Female,"901 Oak Street",19517,729
450,Visa,Debit,39,66,27,1980,September,Male,"253 Lexington Avenue",21186,739
451,Mastercard,Debit,65,67,2,1954,December,Male,"654 Birch Lane",14199,711
452,Mastercard,Debit (Prepaid),31,74,43,1988,March,Male,"557 Catherine Drive",31072,704
453,Mastercard,Debit,26,67,41,1994,February,Female,"682 Martin Luther King Avenue",63159,655
454,Visa,Debit,88,65,-23,1931,April,Female,"9192 Birch Lane",22214,751
455,Visa,Debit,41,69,28,1979,January,Female,"8676 River Avenue",24412,684
456,Mastercard,Debit,54,63,9,1965,October,Male,"600 Grant Lane",17140,751
457,Visa,Credit,34,65,31,1985,October,Female,"378 West Boulevard",17817,705
458,Mastercard,Debit,46,62,16,1973,November,Male,"298 Federal Avenue",24064,530
459,Amex,Credit,65,70,5,1954,May,Male,"9079 Second Drive",12387,734
460,Mastercard,Debit,65,65,0,1954,December,Male,"696 George Lane",44664,608
461,Mastercard,Debit,42,68,26,1977,December,Female,"28 Hillside Boulevard",32078,784
462,Visa,Debit,63,57,-6,1956,September,Female,"219 Ocean Avenue",24571,767
463,Mastercard,Debit,32,74,42,1987,May,Female,"412 Fifth Boulevard",19744,719
464,Amex,Credit,36,64,28,1983,November,Male,"2352 Bayview Boulevard",33078,850
465,Mastercard,Credit,47,72,25,1972,May,Male,"38318 West Drive",20581,724
466,Visa,Credit,58,64,6,1961,August,Female,"416 Madison Street",14477,643
467,Mastercard,Debit,38,65,27,1981,September,Male,"969 Lexington Lane",21988,705
468,Mastercard,Debit,48,65,17,1971,September,Female,"76 Lexington Boulevard",23238,714
469,Mastercard,Debit,67,67,0,1952,March,Female,"488 Bayview Boulevard",26675,682
470,Visa,Credit,56,65,9,1964,February,Male,"281 Martin Luther King Avenue",14004,747
471,Visa,Debit,52,65,13,1967,September,Male,"123 Ocean View Street",35137,629
472,Mastercard,Debit,50,64,14,1969,April,Male,"4480 Hillside Avenue",22578,672
473,Visa,Credit,33,66,33,1986,October,Female,"26191 George Drive",13820,682
474,Mastercard,Debit,55,66,11,1964,April,Male,"455 Little Creek Boulevard",39705,683
475,Mastercard,Debit,20,66,46,1999,November,Male,"135 Spruce Lane",19827,727
476,Mastercard,Credit,68,71,3,1951,September,Male,"26 El Camino Street",20340,724
477,Visa,Debit (Prepaid),57,67,10,1962,March,Male,"45 Maple Lane",24259,697
478,Visa,Credit,54,71,17,1965,September,Male,"9939 Mill Lane",35710,803
479,Visa,Debit,57,69,12,1962,October,Male,"936 12th Street",30004,692
480,Mastercard,Debit,50,68,18,1969,November,Male,"749 Oak Street",42234,713
481,Visa,Credit,18,67,49,2002,February,Male,"628 Norfolk Avenue",40694,653
482,Mastercard,Credit,45,65,20,1975,January,Male,"195 Eighth Boulevard",17131,714
483,Mastercard,Debit,49,68,19,1971,February,Female,"253 West Drive",19604,713
484,Visa,Debit,84,64,-20,1936,January,Female,"4819 Martin Luther King Drive",41665,718
485,Mastercard,Credit,39,64,25,1980,October,Male,"6889 Summit Lane",18740,665
486,Mastercard,Debit,23,71,48,1996,April,Male,"938 Maple Boulevard",22907,810
487,Mastercard,Debit,52,68,16,1967,July,Male,"9028 Valley Stream Avenue",27005,735
488,Mastercard,Debit,34,69,35,1985,June,Male,"927 River Street",15758,745
489,Visa,Debit (Prepaid),36,66,30,1983,August,Male,"430 Grant Boulevard",18024,684
490,Mastercard,Debit,86,68,-18,1933,September,Male,"90 Lexington Drive",29557,699
491,Mastercard,Debit,40,69,29,1979,June,Male,"2336 George Drive",13249,651
492,Visa,Debit,41,70,29,1978,September,Male,"2397 Madison Avenue",18857,850
493,Visa,Debit,18,65,47,2002,January,Male,"33 Lafayette Lane",14245,786
494,Mastercard,Credit,39,68,29,1980,May,Male,"700 Rose Avenue",27635,779
495,Mastercard,Credit,49,63,14,1970,August,Male,"6427 Martin Luther King Drive",18649,831
496,Mastercard,Debit,47,63,16,1972,August,Male,"16893 Fifth Avenue",17810,730
497,Mastercard,Credit,63,65,2,1956,November,Male,"8414 Tenth Drive",25692,850
498,Visa,Debit,20,61,41,1999,June,Male,"53 Elm Street",22844,660
499,Mastercard,Debit,23,66,43,1996,September,Male,"8373 Birch Boulevard",18525,742
500,Visa,Debit,21,67,46,1998,April,Female,"4497 Summit Boulevard",15286,749
501,Visa,Debit,24,65,41,1995,August,Male,"952 Plum Avenue",17267,765
502,Discover,Credit,46,66,20,1974,January,Male,"434 Bayview Avenue",17870,745
503,Visa,Debit (Prepaid),47,61,14,1973,February,Female,"54 Valley Lane",14497,694
504,Mastercard,Debit (Prepaid),38,68,30,1982,January,Female,"377 Mountain View Drive",16825,705
505,Mastercard,Debit,39,63,24,1980,December,Female,"31 Lincoln Avenue",14901,609
506,Mastercard,Debit,56,68,12,1964,January,Male,"2742 El Camino Boulevard",25916,733
507,Mastercard,Debit (Prepaid),22,70,48,1998,February,Male,"79 Burns Drive",18392,695
508,Mastercard,Debit,24,69,45,1995,July,Male,"3221 Tenth Lane",31547,757
509,Mastercard,Credit,33,66,33,1986,July,Male,"239 Sussex Drive",21842,702
510,Visa,Credit,27,65,38,1992,October,Male,"311 Little Creek Boulevard",22549,777
511,Mastercard,Debit (Prepaid),66,68,2,1953,October,Male,"153 Tenth Lane",17460,661
512,Mastercard,Debit,48,62,14,1971,August,Male,"3248 Summit Lane",35727,718
513,Visa,Credit,24,69,45,1995,October,Male,"841 Spruce Drive",17584,712
514,Visa,Credit,58,72,14,1961,August,Male,"967 Norfolk Avenue",15840,698
515,Mastercard,Debit,61,63,2,1958,October,Male,"9525 First Boulevard",20531,676
516,Mastercard,Debit,35,66,31,1984,October,Male,"34 Summit Drive",16942,697
517,Visa,Debit,33,71,38,1986,November,Male,"87 Ocean Avenue",11773,811
518,Visa,Credit,31,61,30,1988,April,Male,"558 North Street",22283,523
519,Mastercard,Debit,57,67,10,1962,June,Female,"839 East Avenue",19377,770
520,Amex,Credit,45,66,21,1974,April,Male,"3346 Hillside Street",28278,766
521,Mastercard,Debit,21,70,49,1998,September,Female,"1241 11th Boulevard",16101,652
522,Mastercard,Debit,26,65,39,1994,February,Female,"4726 Third Street",21313,774
523,Amex,Credit,27,65,38,1992,June,Female,"444 Forest Boulevard",18877,773
524,Visa,Debit,57,62,5,1962,March,Male,"252 Eighth Lane",17282,726
525,Mastercard,Debit,55,66,11,1964,April,Male,"959 Tenth Street",18223,703
526,Mastercard,Debit (Prepaid),51,62,11,1968,March,Female,"54870 Lexington Drive",31625,627
527,Mastercard,Credit,58,65,7,1961,November,Male,"217 Fifth Lane",19926,636
528,Amex,Credit,38,65,27,1981,July,Male,"5661 Forest Avenue",19853,718
529,Mastercard,Debit (Prepaid),55,68,13,1964,August,Male,"9604 West Boulevard",22448,721
530,Mastercard,Debit,78,68,-10,1941,July,Male,"34533 Ninth Avenue",14709,682
531,Amex,Credit,18,68,50,2001,December,Male,"6294 Essex Drive",14470,722
532,Visa,Debit,27,65,38,1993,January,Male,"2282 Main Drive",23778,775
533,Visa,Debit,22,65,43,1997,September,Male,"385 Lexington Boulevard",15183,677
534,Visa,Debit,27,74,47,1993,February,Female,"31919 Summit Boulevard",29680,790
535,Mastercard,Credit,51,63,12,1968,December,Female,"1248 Second Drive",24393,643
536,Amex,Credit,21,62,41,1998,August,Male,"894 Catherine Boulevard",15242,789
537,Mastercard,Debit,19,71,52,2000,October,Female,"35 Fifth Street",31600,703
538,Mastercard,Debit,66,69,3,1954,February,Female,"7888 Fourth Street",14844,814
539,Visa,Debit,21,68,47,1998,August,Female,"3701 Birch Street",16954,765
540,Mastercard,Debit,25,69,44,1994,September,Female,"76009 Valley Stream Boulevard",15770,634
541,Mastercard,Credit,51,70,19,1968,July,Female,"2699 Littlewood Avenue",14293,645
542,Mastercard,Credit,52,65,13,1967,July,Female,"4092 El Camino Lane",14465,704
543,Mastercard,Credit,43,65,22,1976,March,Female,"742 Lake Street",15069,749
544,Visa,Debit (Prepaid),34,65,31,1985,May,Female,"100 Rose Lane",29426,676
545,Mastercard,Debit,55,67,12,1964,October,Male,"22 First Boulevard",22416,715
546,Amex,Credit,51,68,17,1969,January,Male,"599 East Lane",25111,681
547,Mastercard,Debit (Prepaid),70,66,-4,1949,May,Male,"111 Hillside Avenue",18351,778
548,Visa,Credit,33,69,36,1986,June,Male,"81 Wessex Drive",14709,809
549,Mastercard,Credit,51,65,14,1968,April,Male,"774 Wessex Lane",30557,719
550,Mastercard,Credit,76,70,-6,1944,February,Male,"4937 Maple Lane",21219,763
551,Visa,Debit,65,67,2,1955,January,Male,"54 George Avenue",19392,776
552,Mastercard,Debit,54,66,12,1965,April,Male,"1416 Bayview Avenue",25767,602
553,Mastercard,Debit,73,65,-8,1947,January,Male,"471 Ocean Boulevard",17707,628
554,Visa,Debit (Prepaid),59,67,8,1960,August,Male,"6310 Sixth Street",26170,690
555,Mastercard,Debit (Prepaid),31,63,32,1988,May,Male,"6692 Lake Street",21444,514
556,Mastercard,Debit,46,66,20,1973,December,Male,"5659 Park Avenue",17856,715
557,Mastercard,Debit,59,54,-5,1960,September,Male,"350 Jefferson Boulevard",18476,669
558,Visa,Debit,19,63,44,2000,May,Male,"29894 Martin Luther King Lane",16223,692
559,Mastercard,Debit,56,59,3,1963,May,Male,"593 Valley Stream Drive",17394,490
560,Mastercard,Debit,59,65,6,1960,April,Male,"9099 Little Creek Drive",21535,676
561,Mastercard,Debit,48,67,19,1971,June,Male,"604 Pine Street",18076,834
562,Discover,Credit,37,61,24,1982,August,Female,"1059 Elm Avenue",32793,673
563,Mastercard,Debit,70,65,-5,1950,January,Male,"3485 Federal Avenue",24725,737
564,Mastercard,Credit,57,64,7,1962,June,Male,"2288 Pine Lane",20800,765
565,Mastercard,Debit,54,65,11,1965,October,Male,"6721 Sussex Drive",21381,757
566,Mastercard,Credit,60,67,7,1959,October,Female,"8179 Valley Stream Drive",22680,814
567,Mastercard,Debit,25,69,44,1994,June,Male,"9804 Third Street",16445,761
568,Mastercard,Debit,24,66,42,1996,February,Male,"5573 Sixth Lane",18895,778
569,Visa,Credit,52,73,21,1968,February,Male,"29 Martin Luther King Lane",22377,662
570,Mastercard,Debit,34,65,31,1985,September,Male,"6781 Ocean View Drive",15814,625
571,Amex,Credit,42,68,26,1977,November,Male,"8580 Valley Stream Avenue",18003,739
572,Visa,Debit,29,67,38,1991,January,Male,"202 Washington Drive",23208,680
573,Amex,Credit,52,69,17,1967,July,Male,"7970 Little Creek Drive",14717,589
574,Mastercard,Credit,22,66,44,1997,December,Male,"7296 Second Lane",17478,713
575,Visa,Debit,84,65,-19,1935,December,Male,"6478 Valley Stream Avenue",23207,813
576,Amex,Credit,68,64,-4,1951,June,Female,"478 Hill Avenue",30747,638
577,Mastercard,Debit,28,65,37,1992,January,Female,"769 Madison Drive",16238,763
578,Mastercard,Debit,75,71,-4,1944,August,Male,"5934 Essex Boulevard",14920,777
579,Mastercard,Debit,30,67,37,1989,July,Male,"774 Park Lane",19382,772
580,Mastercard,Debit,35,65,30,1984,May,Male,"5094 Lafayette Boulevard",18077,768
581,Visa,Debit,48,67,19,1971,March,Male,"1813 Second Lane",14696,684
582,Mastercard,Debit,53,63,10,1966,August,Male,"415 Lafayette Drive",19236,583
583,Mastercard,Debit,64,67,3,1955,November,Male,"28 West Lane",14200,636
584,Visa,Credit,61,68,7,1958,August,Male,"8823 South Drive",14318,743
585,Mastercard,Debit,52,62,10,1967,September,Male,"5581 Federal Street",20346,584
586,Visa,Credit,37,63,26,1983,February,Male,"372 12th Boulevard",22983,751
587,Mastercard,Debit (Prepaid),20,62,42,1999,August,Male,"5310 Hillside Avenue",12433,643
588,Visa,Debit,21,66,45,1998,June,Male,"2183 Catherine Boulevard",23106,844
589,Mastercard,Debit,58,72,14,1961,November,Male,"250 Hillside Drive",13259,595
590,Amex,Credit,37,66,29,1982,June,Male,"300 West Avenue",17198,724
591,Mastercard,Debit,50,60,10,1969,November,Male,"320 Second Street",18861,696
592,Visa,Debit,68,65,-3,1952,February,Male,"69 Spruce Avenue",13634,714
593,Mastercard,Credit,19,71,52,2000,July,Male,"804 Seventh Boulevard",16585,635
594,Visa,Debit,29,70,41,1990,December,Male,"7109 Rose Street",16642,698
595,Mastercard,Debit,79,66,-13,1941,February,Male,"132 Lexington Drive",18100,699
596,Mastercard,Credit,28,65,37,1991,November,Male,"914 George Street",16985,721
597,Mastercard,Credit,72,66,-6,1948,January,Male,"5138 North Drive",51692,736
598,Visa,Debit (Prepaid),47,63,16,1972,November,Male,"305 Elm Street",21159,628
599,Visa,Debit,26,71,45,1993,March,Male,"4872 Lexington Avenue",49534,722
600,Visa,Debit,18,55,37,2001,May,Male,"2819 Littlewood Lane",22991,578
601,Mastercard,Credit,68,67,-1,1951,July,Male,"5828 Wessex Drive",15849,761
602,Visa,Debit,57,67,10,1963,January,Male,"46 South Street",16888,681
603,Visa,Credit,42,67,25,1978,February,Female,"66 Norfolk Avenue",21884,611
604,Amex,Credit,60,65,5,1959,December,Male,"53 Madison Street",34744,736
605,Mastercard,Debit,42,73,31,1977,October,Male,"663 Summit Boulevard",23316,725
606,Mastercard,Debit,48,67,19,1971,December,Male,"1773 Hill Street",16300,747
607,Visa,Credit,25,64,39,1994,August,Male,"55 Third Drive",20902,771
608,Mastercard,Debit,32,65,33,1987,October,Male,"702 Grant Drive",0,769
609,Visa,Debit,59,62,3,1961,February,Male,"795 Tenth Street",18408,717
610,Discover,Credit,18,58,40,2002,January,Male,"36 First Drive",21609,713
611,Mastercard,Debit,23,65,42,1996,July,Male,"16 Jefferson Drive",28799,758
612,Mastercard,Debit,88,67,-21,1931,September,Female,"336 North Street",18959,838
613,Mastercard,Debit,39,69,30,1980,September,Female,"7549 Fourth Lane",27741,712
614,Mastercard,Debit,84,66,-18,1935,September,Female,"129 Sussex Street",20570,779
615,Visa,Debit,35,65,30,1984,March,Female,"3963 Essex Drive",21956,713
616,Mastercard,Credit,45,72,27,1974,May,Female,"4173 Wessex Avenue",17076,586
617,Mastercard,Debit,27,69,42,1992,June,Female,"5048 Catherine Drive",28459,691
618,Mastercard,Debit (Prepaid),32,67,35,1987,August,Male,"3525 Second Lane",13632,701
619,Mastercard,Debit,54,65,11,1965,December,Male,"498 Littlewood Avenue",26478,748
620,Mastercard,Debit,26,61,35,1993,May,Male,"930 Mill Drive",16397,588
621,Mastercard,Debit,51,63,12,1968,March,Male,"2227 Federal Lane",13425,612
622,Visa,Debit (Prepaid),23,65,42,1996,December,Male,"986 East Avenue",42884,738
623,Mastercard,Debit,63,60,-3,1956,April,Male,"3283 Park Lane",32083,616
624,Visa,Debit,33,66,33,1987,February,Male,"515 Spruce Boulevard",18431,710
625,Mastercard,Debit,19,66,47,2000,December,Female,"4135 Valley Stream Lane",23224,680
626,Visa,Debit,22,65,43,1997,June,Female,"394 Essex Boulevard",42160,746
627,Visa,Credit,50,62,12,1969,November,Male,"6669 Burns Street",22401,717
628,Mastercard,Debit (Prepaid),57,66,9,1963,January,Male,"4 George Lane",52517,815
629,Visa,Debit,72,70,-2,1947,May,Male,"4388 Hillside Street",39053,793
630,Mastercard,Debit,60,66,6,1959,July,Male,"1583 Grant Avenue",19382,491
631,Mastercard,Credit,83,65,-18,1936,May,Female,"273 Elm Drive",17070,682
632,Mastercard,Debit,20,67,47,1999,December,Female,"12694 Fourth Boulevard",14242,703
633,Mastercard,Debit,36,69,33,1983,October,Female,"5506 Fifth Boulevard",24611,743
634,Mastercard,Debit,49,74,25,1970,August,Female,"5063 Seventh Avenue",24071,683
635,Discover,Credit,25,64,39,1994,July,Female,"5338 Fifth Boulevard",16770,731
636,Visa,Debit,47,69,22,1973,February,Female,"1342 Hill Lane",11951,793
637,Visa,Debit,42,68,26,1978,February,Female,"794 Lake Street",37908,771
638,Mastercard,Debit,65,65,0,1955,February,Female,"674 Elm Boulevard",25102,679
639,Visa,Debit,55,73,18,1965,February,Female,"82 Jefferson Avenue",18462,654
640,Visa,Debit,29,63,34,1990,September,Female,"8677 Littlewood Lane",22427,629
641,Visa,Debit,62,68,6,1957,November,Male,"878 Forest Street",18420,735
642,Mastercard,Debit,35,62,27,1984,May,Female,"96 Ninth Drive",16746,648
643,Amex,Credit,29,65,36,1991,January,Female,"892 Spruce Street",21283,697
644,Visa,Credit,58,65,7,1961,March,Female,"511 Grant Avenue",20581,741
645,Mastercard,Debit,63,64,1,1957,February,Female,"174 Catherine Boulevard",13075,750
646,Mastercard,Debit,38,65,27,1981,December,Female,"354 Federal Street",21402,786
647,Mastercard,Debit,31,72,41,1988,July,Female,"27 Birch Avenue",13194,758
648,Visa,Credit,40,61,21,1980,February,Female,"466 Pine Drive",14642,674
649,Visa,Debit,48,65,17,1971,September,Male,"9 Fourth Drive",22762,847
650,Mastercard,Debit,45,65,20,1974,August,Male,"3916 Tenth Boulevard",11876,707
651,Visa,Credit,53,66,13,1966,May,Female,"810 Summit Lane",16852,643
652,Mastercard,Debit,82,66,-16,1937,September,Female,"9952 South Lane",20065,784
653,Visa,Credit,19,65,46,2001,February,Female,"939 Lake Drive",25308,745
654,Visa,Credit,47,69,22,1972,July,Female,"646 South Lane",16618,524
655,Amex,Credit,49,66,17,1970,March,Female,"211 Lexington Drive",14880,552
656,Visa,Debit,61,64,3,1958,May,Female,"98 Ninth Street",25814,704
657,Mastercard,Debit,83,68,-15,1936,November,Female,"2780 Martin Luther King Drive",20697,705
658,Visa,Credit,40,64,24,1980,February,Female,"7476 First Lane",25812,725
659,Visa,Debit (Prepaid),57,67,10,1962,May,Male,"5079 Sussex Avenue",15981,812
660,Visa,Debit,31,68,37,1988,September,Female,"256 Jefferson Street",21602,680
